x,y,z,target,target_name
-18.27,9.36,38.27,0.0,pitch
-18.27,9.36,40.82,0.0,pitch
-18.27,9.36,40.82,0.0,pitch
-18.27,9.36,40.82,0.0,pitch
-12.45,8.09,42.76,0.0,pitch
-12.45,8.09,42.76,0.0,pitch
-12.45,8.09,42.76,0.0,pitch
-5.73,7.09,43.98,0.0,pitch
-5.73,7.09,43.98,0.0,pitch
-5.73,7.09,43.98,0.0,pitch
0.91,5.91,44.49,0.0,pitch
0.91,5.91,44.49,0.0,pitch
0.91,5.91,44.49,0.0,pitch
7.27,4.64,44.18,0.0,pitch
7.27,4.64,44.18,0.0,pitch
7.27,4.64,44.18,0.0,pitch
7.27,4.64,44.18,0.0,pitch
12.73,3.73,43.47,0.0,pitch
12.73,3.73,43.47,0.0,pitch
12.73,3.73,43.47,0.0,pitch
20.0,5.09,41.33,0.0,pitch
20.0,5.09,41.33,0.0,pitch
20.0,5.09,41.33,0.0,pitch
27.09,7.73,37.65,0.0,pitch
27.09,7.73,37.65,0.0,pitch
27.09,7.73,37.65,0.0,pitch
27.09,7.73,37.65,0.0,pitch
31.82,10.0,34.49,0.0,pitch
31.82,10.0,34.49,0.0,pitch
31.82,10.0,34.49,0.0,pitch
34.91,11.09,31.84,0.0,pitch
34.91,11.09,31.84,0.0,pitch
34.91,11.09,31.84,0.0,pitch
38.09,11.36,28.88,0.0,pitch
38.09,11.36,28.88,0.0,pitch
38.09,11.36,28.88,0.0,pitch
41.73,11.45,24.8,0.0,pitch
41.73,11.45,24.8,0.0,pitch
41.73,11.45,24.8,0.0,pitch
44.09,11.64,21.63,0.0,pitch
44.09,11.64,21.63,0.0,pitch
44.09,11.64,21.63,0.0,pitch
46.27,11.82,18.16,0.0,pitch
46.27,11.82,18.16,0.0,pitch
46.27,11.82,18.16,0.0,pitch
48.18,11.55,14.39,0.0,pitch
48.18,11.55,14.39,0.0,pitch
48.18,11.55,14.39,0.0,pitch
49.73,11.18,11.02,0.0,pitch
49.73,11.18,11.02,0.0,pitch
